distance_bp,Scramble replicate 1,Scramble replicate 2,Scramble mean,Scramble sem,p53KD replicate 1,p53KD replicate 2,p53KD mean,p53KD sem
1232.3232323232323,0.11875686599719174,0.041090794443236,0.07992383022021388,0.03883303577697786,0.028188838730150437,0.011420090920361137,0.019804464825255788,0.00838437390489465
1272.7272727272725,0.12296531126214949,0.035643805418069295,0.0793045583401094,0.043660752922040094,0.02461114573395683,0.015581139842009482,0.020096142787983155,0.004515002945973673
1313.1313131313127,0.1082789880175897,0.037760750026638895,0.0730198690221143,0.0352591189954754,0.009026046168305801,0.01503185367721709,0.012028949922761444,0.0030029037544556437
1353.5353535353534,0.08997552457185178,0.04395582407351219,0.06696567432268198,0.02300985024916979,0.003095932722055641,0.009912768460455393,0.0065043505912555175,0.0034084178691998757
1393.9393939393935,0.08361389346025784,0.03980340076290305,0.061708647111580445,0.021905246348677396,0.007173421775528579,0.007100792308670595,0.007137107042099587,3.6314733428991976e-05
1434.3434343434342,0.07896300075268037,0.04502834120689105,0.061995670979785714,0.016967329772894658,-0.0015632738380823208,0.004989937738435054,0.0017133319501763666,0.003276605788258687
1474.7474747474744,0.07881477801447977,0.06104268893351434,0.06992873347399706,0.008886044540482713,0.003879756186700744,0.0009021680097794154,0.0023909620982400796,0.0014887940884606642
1515.151515151515,0.08351528716765592,0.08133363667835333,0.08242446192300462,0.0010908252446512959,0.008334234018056167,-0.002468129921540995,0.002933052048257586,0.005401181969798581
1555.5555555555552,0.08213683693813874,0.09927609315484348,0.0907064650464911,0.008569628108352371,0.006456020817734369,0.0037777219606574533,0.005116871389195911,0.0013391494285384577
1595.9595959595958,0.0797629917448614,0.08781798255430273,0.08379048714958207,0.004027495404720666,0.006408914644756193,0.007915322764435717,0.007162118704595955,0.000753204059839762
1636.363636363636,0.08311167133182089,0.07524367094238095,0.07917767113710092,0.0039340001947199684,0.008026385175485524,0.006348441075256447,0.007187413125370985,0.0008389720501145386
1676.7676767676767,0.08280633997126384,0.06072639855862733,0.07176636926494559,0.011039970706318252,0.011616922005999926,0.005393933092390877,0.008505427549195402,0.003111494456804524
1717.1717171717169,0.08240292524774782,0.04616733618493136,0.0642851307163396,0.01811779453140823,0.014965545162572421,-0.0017471214868627228,0.006609211837854849,0.008356333324717571
1757.5757575757575,0.08298780641317581,0.04537112384311121,0.06417946512814351,0.018808341285032296,0.018226886466852325,-0.0057551581042935155,0.006235864181279405,0.011991022285572918
1797.9797979797977,0.07420933333353048,0.036823163748361254,0.05551624854094587,0.018693084792584615,0.01905233984502653,-0.0056830436460690425,0.0066846480994787435,0.012367691745547787
1838.3838383838383,0.0669953867556095,0.04063275566770849,0.053814071211658994,0.0131813155439505,0.015140796196369813,0.0014383344062038543,0.008289565301286833,0.006851230895082978
1878.7878787878785,0.06322434546391291,0.052464620966237,0.05784448321507495,0.0053798622488379555,0.018135125957196564,0.011399643805620838,0.014767384881408701,0.003367741075787862
1919.1919191919187,0.06131153476058638,0.056291320534933,0.05880142764775969,0.00251010711282669,0.012286752625645719,0.013112829911198266,0.012699791268421991,0.00041303864277627325
1959.5959595959594,0.0669796001368585,0.060751341186862956,0.06386547066186073,0.00311412947499777,0.004866324619977688,0.010774949811734364,0.007820637215856026,0.002954312595878338
2000.0,0.0717221456477862,0.0573578268889382,0.0645399862683622,0.007182159379424,-0.01257566334575781,-0.0015529560293154182,-0.007064309687536614,0.0055113536582211955
